,0,1,2,3,4,5,6,7,8,9,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
462,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
470,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
474,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
483,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
484,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
489,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
490,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
493,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
503,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
507,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
508,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
516,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
528,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
531,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
534,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
537,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
539,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
543,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
548,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
552,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
554,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
556,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
564,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
566,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
568,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
570,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
580,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
582,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
587,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
591,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
595,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
604,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
605,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
617,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
618,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
629,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
631,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
640,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
642,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
652,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
661,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
664,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
670,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
671,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
674,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
677,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
684,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
690,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
